"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
0,0,0,0,0
0.01,0.0627905195293134,-0.0376355902898199,-0.0390262096507486,0.0627905195293134
0.02,0.125333233564304,-0.0589702161860434,-0.0630458204085358,0.125333233564304
0.03,0.187381314585725,-0.0730603139677393,-0.075984658061929,0.187381314585725
0.04,0.248689887164855,-0.0826939231056504,-0.0819460931116956,0.248689887164855
0.05,0.309016994374947,-0.0894716657858651,-0.0835150092997027,0.309016994374947
0.06,0.368124552684678,-0.0943632198935307,-0.0822705607856526,0.368124552684678
0.07,0.425779291565073,-0.0979557662449298,-0.0791811428534459,0.425779291565073
0.08,0.481753674101715,-0.100604068344969,-0.0748451493762567,0.481753674101715
0.09,0.535826794978997,-0.102522079348874,-0.0696366584770414,0.535826794978997
0.1,0.587785252292473,-0.103838721569257,-0.0637937858661972,0.587785252292473
0.11,0.63742398974869,-0.104631820229987,-0.0574723175985481,0.63742398974869
0.12,0.684547105928689,-0.104948743127478,-0.0507782727384774,0.684547105928689
0.13,0.728968627421411,-0.104818952247526,-0.0437876657669408,0.728968627421411
0.14,0.770513242775789,-0.104261635375747,-0.0365584890387218,0.770513242775789
0.15,0.809016994374947,-0.103290343079098,-0.0291379621856731,0.809016994374947
0.16,0.844327925502015,-0.101915801942488,-0.021566902815555,0.844327925502015
0.17,0.876306680043864,-0.100147616340081,-0.0138823430937831,0.876306680043864
0.18,0.90482705246602,-0.0979952918812101,-0.00611907866810979,0.90482705246602
0.19,0.929776485888251,-0.0954688435625516,0.0016894334625231,0.929776485888251
0.2,0.951056516295154,-0.0925791496261351,0.00951057345671258,0.951056516295154
0.21,0.968583161128631,-0.0893381477185693,0.0173123004192137,0.968583161128631
0.22,0.982287250728689,-0.0857589336911213,0.0250630405616204,0.982287250728689
0.23,0.992114701314478,-0.0818557987725667,0.0327316656634179,0.992114701314478
0.24,0.998026728428272,-0.0776442273443889,0.0402875259048158,0.998026728428272
0.25,1,-0.0731408688600297,0.0477005147966605,1
0.26,0.998026728428272,-0.0683634924471936,0.054941153377419,0.998026728428272
0.27,0.992114701314478,-0.0633309290736569,0.0619806849122191,0.992114701314478
