Time_Analysis,I_P_Analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis,I_S_Analysis
0,0,-0.205579515,-0.006039057,-0.066325237,-0.277943809
0.020408163,0.127877162,-0.118538795,-0.124757179,-0.035687637,-0.27898361
0.040816327,0.253654584,-0.029551671,-0.241426791,-0.004464046,-0.275442508
0.06122449,0.375267005,0.05992069,-0.354132182,0.026832845,-0.267378648
0.081632653,0.490717552,0.148409155,-0.461022733,0.05768914,-0.254924438
0.102040816,0.59811053,0.234460746,-0.560343303,0.087598182,-0.238284375
0.12244898,0.695682551,0.316662498,-0.650463052,0.116068864,-0.21773169
0.142857143,0.781831482,0.39366466,-0.729902215,0.142633698,-0.193603856
0.163265306,0.855142763,0.46420286,-0.797356404,0.166856491,-0.166297052
0.183673469,0.914412623,0.527118862,-0.851718023,0.188339506,-0.136259656
0.204081633,0.958667853,0.581379586,-0.892094455,0.20672999,-0.103984879
0.224489796,0.987181783,0.626094074,-0.917822722,0.221725974,-0.070002674
0.244897959,0.999486216,0.660528114,-0.928480364,0.233081224,-0.034871027
0.265306122,0.995379113,0.684116301,-0.923892385,0.240609286,0.000833202
0.285714286,0.974927912,0.696471317,-0.904134118,0.24418655,0.036523749
0.306122449,0.938468422,0.697390293,-0.869529994,0.243754278,0.071614578
0.326530612,0.886599306,0.686858141,-0.820648211,0.239319568,0.105529497
0.346938776,0.820172255,0.665047796,-0.758291408,0.230955237,0.137711625
0.367346939,0.740277997,0.632317385,-0.683483481,0.218798627,0.167632531
0.387755102,0.648228395,0.58920434,-0.597452773,0.20304935,0.194800916
0.408163265,0.545534901,0.536416576,-0.501611908,0.183966008,0.218770676
0.428571429,0.433883739,0.474820867,-0.397534589,0.161861949,0.239148227
0.448979592,0.315108218,0.405428612,-0.286929763,0.137100122,0.25559897
0.469387755,0.191158629,0.32937923,-0.171613559,0.110087114,0.267852786
0.489795918,0.06407022,0.247921451,-0.053479464,0.081266479,0.275708466
0.510204082,-0.06407022,0.162392808,0.065532762,0.051111451,0.279037021
0.530612245,-0.191158629,0.07419768,0.183468941,0.020117174,0.277783796
0.551020408,-0.315108218,-0.015215772,0.298392566,-0.011207426,0.271969368
0.571428571,-0.433883739,-0.104379381,0.408416593,-0.042348001,0.261689211
0.591836735,-0.545534901,-0.191829084,0.511734431,-0.072793223,0.247112125
0.612244898,-0.648228395,-0.276128958,0.606649604,-0.102043182,0.228477464
0.632653061,-0.740277997,-0.355894803,0.691603607,-0.129617594,0.206091209
0.653061224,-0.820172255,-0.429816865,0.765201498,-0.15506369,0.180320943
0.673469388,-0.886599306,-0.496681346,0.826234801,-0.177963644,0.151589811
0.693877551,-0.938468422,-0.555390333,0.873701352,-0.19794144,0.12036958
0.714285714,-0.974927912,-0.604979826,0.906821751,-0.214669043,0.087172883
0.734693878,-0.995379113,-0.644635567,0.925052162,-0.227871786,0.052544809
0.755102041,-0.999486216,-0.67370641,0.928093241,-0.23733288,0.017053951
0.775510204,-0.987181783,-0.691715012,0.915895056,-0.242896976,-0.018716932
0.795918367,-0.958667853,-0.698365672,0.888657899,-0.24447271,-0.054180483
0.816326531,-0.914412623,-0.693549188,0.846829004,-0.242034208,-0.088754393
0.836734694,-0.855142763,-0.677344645,0.7910952,-0.235621512,-0.121870958
0.857142857,-0.781831482,-0.650018122,0.722371634,-0.225339917,-0.152986405
0.87755102,-0.695682551,-0.61201832,0.641786747,-0.211358246,-0.181589819
0.897959184,-0.59811053,-0.563969193,0.550663739,-0.19390608,-0.207211534
0.918367347,-0.490717552,-0.506659708,0.450498847,-0.17326998,-0.229430841
0.93877551,-0.375267005,-0.441030884,0.342936777,-0.149788793,-0.2478829
0.959183673,-0.253654584,-0.368160346,0.229743694,-0.123848077,-0.262264729
0.979591837,-0.127877162,-0.289244625,0.112778226,-0.09587378,-0.272340178
1,-2.45E-16,-0.205579515,-0.006039057,-6.63E-02,-0.277943809
