Time_Analysis,I_P_Analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis,I_S_Analysis
0.7449,0.06407022,0.869009857,-0.035234514,0.281645569,1.115420913
0.7551,-0.06407022,0.99948172,0.090122893,0.321177858,1.410782471
0.7653,-0.191158629,1.11354212,0.214000485,0.355436415,1.682979019
0.7755,-0.315108218,1.209318189,0.334364195,0.383858715,1.927541099
0.7857,-0.433883739,1.285237287,0.449237654,0.405978067,2.140453007
0.7959,-0.545534901,1.340052824,0.556734643,0.42143127,2.318218736
0.8061,-0.648228395,1.372864731,0.655090064,0.429964583,2.457919378
0.81635,-0.740277997,1.383134237,0.742688925,0.431437889,2.557261051
0.82655,-0.820172255,1.370692717,0.818092854,0.425826997,2.614612569
0.83675,-0.886599306,1.335744461,0.880063721,0.413224038,2.62903222
0.84695,-0.938468422,1.278863317,0.927583966,0.393835951,2.600283235
0.85715,-0.974927912,1.200983273,0.959873308,0.367981089,2.528837671
0.86735,-0.995379113,1.103383117,0.976401557,0.336083988,2.415868663
0.87755,-0.999486216,0.987665441,0.97689732,0.298668397,2.263231158
0.88775,-0.987181783,0.855730326,0.961352455,0.256348679,2.073431459
0.89795,-0.958667853,0.709744142,0.93002221,0.209819723,1.849586074
0.90815,-0.914412623,0.552103979,0.883421025,0.159845532,1.595370536
0.91835,-0.855142763,0.385398284,0.822314092,0.107246683,1.314959059
0.92855,-0.781831482,0.212364359,0.747704784,0.052886846,1.01295599
0.9388,-0.695682551,0.035843418,0.660818184,-0.002341392,0.694320211
0.949,-0.59811053,-0.141266071,0.563080968,-0.057531184,0.364283714
0.9592,-0.490717552,-0.316055975,0.456097978,-0.111776315,0.028265688
0.9694,-0.375267005,-0.485656249,0.341625872,-0.164186083,-0.308216459
0.9796,-0.253654584,-0.64728206,0.221544279,-0.213899919,-0.639637701
0.9898,-0.127877162,-0.798279518,0.097824934,-0.260101525,-0.960556109
1,-2.45E-16,-0.936169249,-0.027500693,-0.302032271,-1.265702213
,,,,,
