Time_FEA,I_1_FEA,I_2_FEA,I_3_FEA,I_4_FEA,I_S_FEA
0,-0.5,0,0,-0.5,0
0.01,0.5,-0.761816832,-0.971757789,0.5,-1.733574621
0.02,0.5,-0.685018991,-0.850622464,0.5,-1.535641455
0.03,0.5,-0.616128957,-0.744131704,0.5,-1.360260661
0.04,0.5,-0.555328491,-0.649782436,0.5,-1.205110927
0.05,0.5,-0.501588531,-0.566215915,0.5,-1.067804446
0.06,0.5,-0.45404662,-0.492212264,0.5,-0.946258884
0.07,0.5,-0.411967623,-0.426679793,0.5,-0.838647416
0.08,0.5,-0.374712045,-0.368648649,0.5,-0.743360694
0.09,0.5,-0.341719193,-0.317259263,0.5,-0.658978456
0.1,0.5,-0.312495691,-0.271750419,0.5,-0.58424611
0.11,0.5,-0.286606561,-0.2314482,0.5,-0.518054761
0.12,0.5,-0.263667859,-0.19575604,0.5,-0.459423899
0.13,0.5,-0.243340427,-0.164145862,0.5,-0.407486289
0.14,0.5,-0.225324511,-0.136150206,0.5,-0.361474717
0.15,0.5,-0.209355072,-0.111355265,0.5,-0.320710337
0.16,0.5,-0.195197698,-0.08939471,0.5,-0.284592409
0.17,0.5,-0.182645012,-0.069944231,0.5,-0.252589243
0.18,0.5,-0.171513515,-0.052716705,0.5,-0.22423022
0.19,0.5,-0.161640812,-0.03745792,0.5,-0.199098733
0.2,0.5,-0.152883165,-0.023942797,0.5,-0.176825962
0.21,0.5,-0.145113329,-0.01197204,0.5,-0.157085369
0.22,0.5,-0.138218654,-0.001369174,0.5,-0.139587828
0.23,0.5,-0.132099396,0.00802207,0.5,-0.124077327
0.24,0.5,-0.126667234,0.016340077,0.5,-0.110327157
0.25,0.5,-0.121843954,0.023707399,0.5,-0.098136555
0.26,0.5,-0.117560289,0.030232571,0.5,-0.087327718
0.27,0.5,-0.113754889,0.036011714,0.5,-0.077743175
0.28,0.5,-0.110373417,0.041129964,0.5,-0.069243453
0.29,0.5,-0.10736774,0.045662725,0.5,-0.061705014
0.3,0.5,-0.104695219,0.049676786,0.5,-0.055018434
0.31,0.5,-0.102318085,0.053231305,0.5,-0.04908678
0.32,0.5,-0.100202872,0.056378686,0.5,-0.043824187
0.33,0.5,-0.098319934,0.059165348,0.5,-0.039154586
0.34,0.5,-0.096643001,0.061632412,0.5,-0.035010589
0.35,0.5,-0.095148797,0.063816307,0.5,-0.03133249
0.36,0.5,-0.093816696,0.065749304,0.5,-0.028067392
0.37,0.5,-0.09262842,0.067459994,0.5,-0.025168426
0.38,0.5,-0.091567771,0.068973707,0.5,-0.022594064
0.39,0.5,-0.090620392,0.070312884,0.5,-0.020307508
0.4,0.5,-0.089773559,0.07149741,0.5,-0.01827615
0.41,0.5,-0.089015994,0.072544901,0.5,-0.016471093
0.42,0.5,-0.088337697,0.073470968,0.5,-0.014866729
0.43,0.5,-0.087729807,0.074289443,0.5,-0.013440364
0.44,0.5,-0.087184465,0.075012582,0.5,-0.012171883
0.45,0.5,-0.086694704,0.075651246,0.5,-0.011043458
0.46,0.5,-0.086254346,0.07621506,0.5,-0.010039286
0.47,0.5,-0.085857913,0.076712552,0.5,-0.009145361
0.48,0.5,-0.085500548,0.077151283,0.5,-0.008349265
0.49,0.5,-0.08517794,0.07753795,0.5,-0.00763999
0.5,0.5,-0.084886268,0.07787849,0.5,-0.007007777
0.51,-0.5,0.655687109,1.092372674,-0.5,1.748059783
0.52,-0.5,0.578210133,0.970029953,-0.5,1.548240085
0.53,-0.5,0.509417876,0.861743877,-0.5,1.371161752
0.54,-0.5,0.44860991,0.765920318,-0.5,1.214530228
0.55,-0.5,0.39482378,0.681094553,-0.5,1.075918333
0.56,-0.5,0.347231329,0.605990681,-0.5,0.953222009
0.57,-0.5,0.305110416,0.539485491,-0.5,0.844595907
0.58,-0.5,0.267826641,0.480587918,-0.5,0.748414559
0.59,-0.5,0.234821001,0.42842258,-0.5,0.663243582
0.6,-0.5,0.205600194,0.382215779,-0.5,0.587815973
0.61,-0.5,0.179728511,0.341283396,-0.5,0.521011907
0.62,-0.5,0.156820898,0.305020341,-0.5,0.461841239
0.63,-0.5,0.136536925,0.272891308,-0.5,0.409428233
0.64,-0.5,0.118575523,0.244422646,-0.5,0.36299817
0.65,-0.5,0.102670371,0.219195206,-0.5,0.321865577
0.66,-0.5,0.088585835,0.196838022,-0.5,0.285423857
0.67,-0.5,0.076113401,0.177022748,-0.5,0.253136148
0.68,-0.5,0.065068527,0.159458732,-0.5,0.224527259
0.69,-0.5,0.055287868,0.143888673,-0.5,0.199176541
0.7,-0.5,0.046626829,0.130084775,-0.5,0.176711604
0.71,-0.5,0.038957397,0.117845353,-0.5,0.15680275
0.72,-0.5,0.032166233,0.106991829,-0.5,0.139158062
0.73,-0.5,0.026152984,0.097366073,-0.5,0.123519057
0.74,-0.5,0.020828788,0.088828059,-0.5,0.109656847
0.75,-0.5,0.016114955,0.08125378,-0.5,0.097368735
0.76,-0.5,0.011941798,0.074533417,-0.5,0.086475215
0.77,-0.5,0.008247602,0.068569702,-0.5,0.076817304
0.78,-0.5,0.004977706,0.06327649,-0.5,0.068254196
0.79,-0.5,0.0020837,0.058577474,-0.5,0.060661174
0.8,-0.5,-0.000477295,0.054405064,-0.5,0.053927769
0.81,-0.5,-0.00274326,0.050699388,-0.5,0.047956128
0.82,-0.5,-0.004747838,0.047407408,-0.5,0.04265957
0.83,-0.5,-0.006520831,0.044482135,-0.5,0.037961305
0.84,-0.5,-0.008088637,0.041881944,-0.5,0.033793307
0.85,-0.5,-0.009474645,0.039569953,-0.5,0.030095308
0.86,-0.5,-0.010699572,0.037513485,-0.5,0.026813913
0.87,-0.5,-0.011781773,0.035683588,-0.5,0.023901815
0.88,-0.5,-0.01273751,0.034054606,-0.5,0.021317096
0.89,-0.5,-0.01358119,0.032603806,-0.5,0.019022615
0.9,-0.5,-0.01432558,0.031311042,-0.5,0.016985462
0.91,-0.5,-0.014981989,0.03015846,-0.5,0.015176472
0.92,-0.5,-0.015560438,0.029130239,-0.5,0.0135698
0.93,-0.5,-0.01606981,0.028212354,-0.5,0.012142545
0.94,-0.5,-0.016517971,0.027392377,-0.5,0.010874406
0.95,-0.5,-0.016911894,0.026659289,-0.5,0.009747395
0.96,-0.5,-0.01725776,0.026003325,-0.5,0.008745565
0.97,-0.5,-0.017561043,0.025415826,-0.5,0.007854783
0.98,-0.5,-0.017826596,0.024889118,-0.5,0.007062522
0.99,-0.5,-0.018058719,0.024416394,-0.5,0.006357675
1,-0.5,-0.018261225,0.023991622,-0.5,0.005730397
