Time_FEA,I_P_FEA,I_2_FEA,I_4_FEA,I_6_FEA,I_S_FEA
0.76,0.278947368,0.03227592,0.339928596,0.073476761,0.445681277
0.77,0.289473684,0.025429029,0.34991531,0.071644853,0.446989192
0.78,0.3,0.018521771,0.359898287,0.069794805,0.448214863
0.79,0.310526316,0.011558065,0.369877668,0.067927767,0.449363499
0.8,0.321052632,0.00454158,0.379853588,0.066044811,0.450439979
0.81,0.331578947,-0.002524252,0.38982618,0.064146944,0.451448871
0.82,0.342105263,-0.009636222,0.399795573,0.062235103,0.452394455
0.83,0.352631579,-0.016791323,0.409761892,0.06031017,0.453280739
0.84,0.363157895,-0.023986747,0.419725259,0.058372965,0.454111477
0.85,0.373684211,-0.031219864,0.42968579,0.056424259,0.454890185
0.86,0.384210526,-0.038488215,0.439643601,0.05446477,0.455620156
0.87,0.394736842,-0.045789498,0.449598802,0.052495171,0.456304475
0.88,0.405263158,-0.05312156,0.4595515,0.050516091,0.456946031
0.89,0.415789474,-0.06048239,0.469501799,0.048528119,0.457547529
0.9,0.426315789,-0.067870102,0.479449799,0.046531806,0.458111503
0.91,0.436842105,-0.075282937,0.489395598,0.044527666,0.458640328
0.92,0.447368421,-0.082719247,0.499339291,0.042516182,0.459136226
0.93,0.457894737,-0.09017749,0.509280967,0.040497802,0.45960128
0.94,0.468421053,-0.097656225,0.519220715,0.03847295,0.46003744
0.95,0.478947368,-0.105154106,0.52915862,0.036442018,0.460446532
0.96,0.489473684,-0.112669871,0.539094764,0.034405375,0.460830269
0.97,0.5,-0.120202341,0.549029226,0.032363366,0.461190251
0.98,0.3,-0.419311853,0.350267958,-0.060657823,-0.129701719
0.99,0.1,-0.689941231,0.152026849,-0.145184792,-0.683099174
1,-1.22E-15,1.09929198,0.031311088,0.316868415,1.447471482
