Time_Analysis,I_1_Analysis,I_2_Analysis,I_3_Analysis,I_4_Analysis
0.90815,-0.914412623,0.198326059,0.232035923,-0.914412623
0.91835,-0.855142763,0.127606987,0.135561555,-0.855142763
0.92855,-0.781831482,0.054792611,0.03686127,-0.781831482
0.9388,-0.695682551,-0.018921458,-0.062444276,-0.695682551
0.949,-0.59811053,-0.092324837,-0.160724489,-0.59811053
0.9592,-0.490717552,-0.164212245,-0.25636561,-0.490717552
0.9694,-0.375267005,-0.233403293,-0.347797215,-0.375267005
0.9796,-0.253654584,-0.298761864,-0.433517999,-0.253654584
0.9898,-0.127877162,-0.359214775,-0.51212043,-0.127877162
1,-2.45E-16,-0.413769388,-0.582313857,-2.45E-16
