layerThickness,layerSpacing,I3toI4,,,,
0.0035,0.0065,0.803928,,3.5,6.5,0.992
0.004,0.0065,0.810942,,4,6.5,0.992
0.0045,0.0065,0.817995,,4.5,6.5,0.992
0.005,0.0065,0.823631,,5,6.5,0.992
0.0005,0.007,0.781778,,0.5,7,0.992
0.001,0.007,0.789968,,1,7,0.992
0.0015,0.007,0.798211,,1.5,7,0.992
0.002,0.007,0.805975,,2,7,0.992
0.0025,0.007,0.813511,,2.5,7,0.992
0.003,0.007,0.820713,,3,7,0.992
0.0035,0.007,0.826917,,3.5,7,0.992
0.004,0.007,0.833281,,4,7,0.992
0.0045,0.007,0.838834,,4.5,7,0.992
0.005,0.007,0.84391,,5,7,0.992
0.0005,0.0075,0.811487,,0.5,7.5,0.992
0.001,0.0075,0.8179,,1,7.5,0.992
0.0015,0.0075,0.824633,,1.5,7.5,0.992
0.002,0.0075,0.831512,,2,7.5,0.992
0.0025,0.0075,0.838094,,2.5,7.5,0.992
0.003,0.0075,0.843868,,3,7.5,0.992
0.0035,0.0075,0.849239,,3.5,7.5,0.992
0.004,0.0075,0.854224,,4,7.5,0.992
0.0045,0.0075,0.859374,,4.5,7.5,0.992
0.005,0.0075,0.863698,,5,7.5,0.992
0.0005,0.008,0.839567,,0.5,8,0.992
0.001,0.008,0.844848,,1,8,0.992
0.0015,0.008,0.85095,,1.5,8,0.992
0.002,0.008,0.856064,,2,8,0.992
0.0025,0.008,0.861236,,2.5,8,0.992
0.003,0.008,0.865995,,3,8,0.992
0.0035,0.008,0.870365,,3.5,8,0.992
0.004,0.008,0.874728,,4,8,0.992
0.0045,0.008,0.878748,,4.5,8,0.992
0.005,0.008,0.882409,,5,8,0.992
0.0005,0.0085,0.866642,,0.5,8.5,0.992
0.001,0.0085,0.870977,,1,8.5,0.992
0.0015,0.0085,0.875307,,1.5,8.5,0.992
0.002,0.0085,0.87938,,2,8.5,0.992
0.0025,0.0085,0.883245,,2.5,8.5,0.992
0.003,0.0085,0.887241,,3,8.5,0.992
0.0035,0.0085,0.89095,,3.5,8.5,0.992
0.004,0.0085,0.894461,,4,8.5,0.992
0.0045,0.0085,0.897791,,4.5,8.5,0.992
0.005,0.0085,0.900712,,5,8.5,0.992
0.0005,0.009,0.892054,,0.5,9,0.992
0.001,0.009,0.895067,,1,9,0.992
0.0015,0.009,0.898733,,1.5,9,0.992
0.002,0.009,0.901594,,2,9,0.992
0.0025,0.009,0.905154,,2.5,9,0.992
0.003,0.009,0.907846,,3,9,0.992
0.0035,0.009,0.910429,,3.5,9,0.992
0.004,0.009,0.913517,,4,9,0.992
0.0045,0.009,0.915881,,4.5,9,0.992
0.005,0.009,0.918062,,5,9,0.992
0.0005,0.0095,0.916598,,0.5,9.5,0.992
0.001,0.0095,0.919021,,1,9.5,0.992
0.0015,0.0095,0.920904,,1.5,9.5,0.992
0.002,0.0095,0.923081,,2,9.5,0.992
0.0025,0.0095,0.925542,,2.5,9.5,0.992
0.003,0.0095,0.92746,,3,9.5,0.992
0.0035,0.0095,0.929294,,3.5,9.5,0.992
0.004,0.0095,0.931878,,4,9.5,0.992
0.0045,0.0095,0.933538,,4.5,9.5,0.992
0.005,0.0095,0.934862,,5,9.5,0.992
0.0005,0.01,0.939865,,0.5,10,0.992
0.001,0.01,0.940887,,1,10,0.992
0.0015,0.01,0.942474,,1.5,10,0.992
0.002,0.01,0.943663,,2,10,0.992
0.0025,0.01,0.945161,,2.5,10,0.992
0.003,0.01,0.946347,,3,10,0.992
0.0035,0.01,0.948007,,3.5,10,0.992
0.004,0.01,0.94925,,4,10,0.992
0.0045,0.01,0.950114,,4.5,10,0.992
0.005,0.01,0.95135,,5,10,0.992
