"Time [us]","Current(p1) [A]","Current(s1) [A]","Current(s2) [A]","Current(s3) [A]","Current(s1)+Current(s2)+Current(s3) [A]"
0,0,0,0,0,0
0.01,0.0627905195293134,-0.0368840471595214,-0.0651953521986795,-0.0108606053065316,-0.112940004664733
0.02,0.125333233564304,-0.0390861361073674,-0.126011044587452,-0.0137028621526443,-0.178800042847464
0.03,0.187381314585725,-0.0205650642430955,-0.185966504211945,-0.0105885008588648,-0.217120069313905
0.04,0.248689887164855,0.0102466998461745,-0.244943961722067,-0.00391543188583275,-0.238612693761725
0.05,0.309016994374947,0.0482476119432343,-0.302765179669544,0.00485931134774946,-0.24965825637856
0.06,0.368124552684678,0.0903249991079639,-0.359236611344996,0.0148504098589333,-0.254061202378099
0.07,0.425779291565073,0.134550942313935,-0.414158296622942,0.0255129992523607,-0.254094355056646
0.08,0.481753674101715,0.179703719438777,-0.467329340831998,0.036504999142746,-0.251120622250475
0.09,0.535826794978997,0.224983274663784,-0.518551494207805,0.0476052503004595,-0.245962969243562
0.1,0.587785252292473,0.269842160431669,-0.567631590867546,0.058664864608173,-0.239124565827704
0.11,0.63742398974869,0.313885199187666,-0.614383295812236,0.0695783408800403,-0.23091975574453
0.12,0.684547105928689,0.356810036561194,-0.658628425457535,0.0802664432215123,-0.221551945674829
0.13,0.728968627421411,0.398372024062106,-0.70019799933416,0.0906660778624805,-0.211159897409574
0.14,0.770513242775789,0.438363573323868,-0.738933114457694,0.100724332657207,-0.199845208476619
0.15,0.809016994374947,0.476602110241981,-0.774685697765337,0.110394992543599,-0.187688594979757
0.16,0.844327925502015,0.512923141283185,-0.807319164396086,0.119636525251294,-0.174759497861607
0.17,0.876306680043864,0.547176343200634,-0.836709003550027,0.128410939738808,-0.161121720610585
0.18,0.90482705246602,0.579223445859056,-0.862743298981858,0.136683159900841,-0.146836693221961
0.19,0.929776485888251,0.608937163120539,-0.885323188880249,0.144420703303453,-0.131965322456257
0.2,0.951056516295154,0.636200734925303,-0.904363269634887,0.15159353689898,-0.116568997810604
0.21,0.968583161128631,0.660907817832552,-0.919791942320749,0.158174034147163,-0.100710090341034
0.22,0.982287250728689,0.682962565126495,-0.931551702526092,0.164136989865037,-0.08445214753456
0.23,0.992114701314478,0.702279804210619,-0.939599374114172,0.169459664252514,-0.0678599056510391
0.24,0.998026728428272,0.71878525386263,-0.943906285084281,0.174121841270549,-0.0509991899511019
0.25,1,0.732415747820547,-0.9444583862605,0.178105889970334,-0.0339367484696191
0.26,0.998026728428272,0.743119443153614,-0.941256311730134,0.181396824861969,-0.016740043714551
0.27,0.992114701314478,0.750856002034489,-0.934315381238375,0.183982359845516,0.000522980641630005
0.28,0.982287250728689,0.755596737759669,-0.923665544514552,0.185852954884968,0.017784148130085
0.29,0.968583161128631,0.757324721568251,-0.909351267648784,0.187001853133157,0.034975307052624
0.3,0.951056516295154,0.756034846396309,-0.891431362226973,0.187425108172532,0.0520285923418681
0.31,0.929776485888251,0.751733846313452,-0.869978757577296,0.187121600610493,0.0688766893466489
0.32,0.904827052466019,0.744440270445996,-0.845080217293256,0.186093043780506,0.085453096933246
0.33,0.876306680043864,0.734184410935068,-0.816836000928143,0.184343978489378,0.101692388496303
0.34,0.844327925502015,0.721008185405196,-0.785359472487022,0.18188175652207,0.117530469440244
0.35,0.809016994374947,0.704964973039798,-0.750776656867342,0.178716513050212,0.132904829222668
0.36,0.770513242775789,0.686119406420711,-0.713225746252539,0.174861128191338,0.14775478835951
0.37,0.728968627421412,0.664547118215704,-0.672856558708996,0.17033117746313,0.162021736969838
0.38,0.684547105928689,0.640334444936942,-0.629829950055144,0.165144871690975,0.175649366572773
0.39,0.63742398974869,0.613578088404873,-0.584317182968612,0.159322986342779,0.18858389177904
0.4,0.587785252292473,0.584384735880586,-0.536499253857954,0.152888780963263,0.200774262985895
0.41,0.535826794978997,0.552870641384233,-0.486566182122453,0.14586790821744,0.21217236747922
0.42,0.481753674101716,0.519161168612724,-0.434716263399006,0.138288314100683,0.222733219314401
0.43,0.425779291565073,0.483390297913463,-0.381155289524456,0.130180128549367,0.232415136938374
0.44,0.368124552684678,0.445700099947538,-0.326095739594403,0.121575547311692,0.241179907664827
0.45,0.309016994374948,0.406240176182501,-0.269755943864911,0.112508706335257,0.248992938652847
0.46,0.248689887164855,0.365167070425537,-0.212359224975337,0.103015547644885,0.255823393095085
0.47,0.187381314585725,0.322643652546217,-0.154133019155518,0.093133678212375,0.261644311603074
0.48,0.125333233564305,0.278838477885271,-0.0953079808347866,0.0829022229290752,0.26643271997956
0.49,0.0627905195293136,0.233925122463071,-0.0361170747673597,0.0723616702947872,0.270169717990498
0.5,5.66553889764798e-16,0.188081500526447,0.0232053410178669,0.0615537140801505,0.272840555624464
0.51,-0.0627905195293129,0.141489163345408,0.0824244379447077,0.0505210889436519,0.274434690233768
0.52,-0.125333233564304,0.0943325843169392,0.141305841796251,0.0393074026883104,0.274945828801501
0.53,-0.187381314585724,0.0467984316211788,0.199616555633407,0.0279569648278859,0.274371952082472
0.54,-0.248689887164855,-0.00092516668794107,0.257125876966493,0.0165146126032058,0.272715322881758
0.55,-0.309016994374947,-0.0486493631727364,0.313606307080816,0.00502553381121175,0.269982477719291
