0.5	0.5	0.18234
1	0.5	0.237297
1.5	0.5	0.2854
2	0.5	0.327145
2.5	0.5	0.364402
3	0.5	0.398982
3.5	0.5	0.429366
4	0.5	0.456736
4.5	0.5	0.482801
5	0.5	0.505688
0.5	1	0.250851
1	1	0.298109
1.5	1	0.340138
2	1	0.377622
2.5	1	0.411537
3	1	0.441751
3.5	1	0.469398
4	1	0.495287
4.5	1	0.517709
5	1	0.538919
0.5	1.5	0.313634
1	1.5	0.354655
1.5	1.5	0.391262
2	1.5	0.42511
2.5	1.5	0.455495
3	1.5	0.482654
3.5	1.5	0.507962
4	1.5	0.530633
4.5	1.5	0.55144
5	1.5	0.570565
0.5	2	0.370843
1	2	0.406896
1.5	2	0.439973
2	2	0.46953
2.5	2	0.496982
3	2	0.521347
3.5	2	0.544124
4	2	0.564302
4.5	2	0.583343
5	2	0.600905
0.5	2.5	0.424396
1	2.5	0.45572
1.5	2.5	0.484788
2	2.5	0.511578
2.5	2.5	0.5361
3	2.5	0.55818
3.5	2.5	0.578434
4	2.5	0.597384
4.5	2.5	0.614105
5	2.5	0.629975
0.5	3	0.474335
1	3	0.501664
1.5	3	0.528082
2	3	0.551792
2.5	3	0.573238
3	3	0.593378
3.5	3	0.611399
4	3	0.628073
4.5	3	0.643708
5	3	0.658013
0.5	3.5	0.520763
1	3.5	0.545451
1.5	3.5	0.567953
2	3.5	0.589181
2.5	3.5	0.608513
3	3.5	0.626509
3.5	3.5	0.642717
4	3.5	0.657675
4.5	3.5	0.67154
5	3.5	0.68468
0.5	4	0.56476
1	4	0.586411
1.5	4	0.606335
2	4	0.625157
2.5	4	0.642486
3	4	0.658211
3.5	4	0.672717
4	4	0.686149
4.5	4	0.6987
5	4	0.710122
0.5	4.5	0.606272
1	4.5	0.625047
1.5	4.5	0.642641
2	4.5	0.658716
2.5	4.5	0.674461
3	4.5	0.688799
3.5	4.5	0.701442
4	4.5	0.713189
4.5	4.5	0.72459
5	4.5	0.734337
0.5	5	0.645168
1	5	0.661654
1.5	5	0.676688
2	5	0.691471
2.5	5	0.704431
3	5	0.717239
3.5	5	0.72859
4	5	0.739476
4.5	5	0.749222
5	5	0.75803
0.5	5.5	0.682517
1	5.5	0.69595
1.5	5.5	0.709315
2	5.5	0.722232
2.5	5.5	0.733954
3	5.5	0.744852
3.5	5.5	0.75501
4	5.5	0.764112
4.5	5.5	0.773032
5	5.5	0.780721
0.5	6	0.71728
1	6	0.728799
1.5	6	0.740162
2	6	0.751685
2.5	6	0.761729
3	6	0.771035
3.5	6	0.779639
4	6	0.788044
4.5	6	0.795795
5	6	0.802685
0.5	6.5	0.750516
1	6.5	0.760227
1.5	6.5	0.770324
2	6.5	0.779603
2.5	6.5	0.788242
3	6.5	0.796316
3.5	6.5	0.803928
4	6.5	0.810942
4.5	6.5	0.817995
5	6.5	0.823631
0.5	7	0.781778
1	7	0.789968
1.5	7	0.798211
2	7	0.805975
2.5	7	0.813511
3	7	0.820713
3.5	7	0.826917
4	7	0.833281
4.5	7	0.838834
5	7	0.84391
0.5	7.5	0.811487
1	7.5	0.8179
1.5	7.5	0.824633
2	7.5	0.831512
2.5	7.5	0.838094
3	7.5	0.843868
3.5	7.5	0.849239
4	7.5	0.854224
4.5	7.5	0.859374
5	7.5	0.863698
0.5	8	0.839567
1	8	0.844848
1.5	8	0.85095
2	8	0.856064
2.5	8	0.861236
3	8	0.865995
3.5	8	0.870365
4	8	0.874728
4.5	8	0.878748
5	8	0.882409
0.5	8.5	0.866642
1	8.5	0.870977
1.5	8.5	0.875307
2	8.5	0.87938
2.5	8.5	0.883245
3	8.5	0.887241
3.5	8.5	0.89095
4	8.5	0.894461
4.5	8.5	0.897791
5	8.5	0.900712
0.5	9	0.892054
1	9	0.895067
1.5	9	0.898733
2	9	0.901594
2.5	9	0.905154
3	9	0.907846
3.5	9	0.910429
4	9	0.913517
4.5	9	0.915881
5	9	0.918062
0.5	9.5	0.916598
1	9.5	0.919021
1.5	9.5	0.920904
2	9.5	0.923081
2.5	9.5	0.925542
3	9.5	0.92746
3.5	9.5	0.929294
4	9.5	0.931878
4.5	9.5	0.933538
5	9.5	0.934862
0.5	10	0.939865
1	10	0.940887
1.5	10	0.942474
2	10	0.943663
2.5	10	0.945161
3	10	0.946347
3.5	10	0.948007
4	10	0.94925
4.5	10	0.950114
5	10	0.95135
