Time_FEA,I_1_FEA,I_2_FEA,I_3_FEA,I_4_FEA,I_S_FEA
0.75,5.10E-13,0.357596726,0.56859356,5.10E-13,0.926190286
0.76,-0.125333234,0.409203491,0.630900631,-0.125333234,1.040104121
0.77,-0.248689887,0.454327569,0.683287409,-0.248689887,1.137614978
0.78,-0.368124553,0.492257344,0.724927706,-0.368124553,1.21718505
0.79,-0.481753674,0.522394655,0.755164816,-0.481753674,1.277559471
0.8,-0.587785252,0.544264235,0.773521863,-0.587785252,1.317786099
0.81,-0.684547106,0.557521205,0.779709331,-0.684547106,1.337230536
0.82,-0.770513243,0.561956508,0.773629624,-0.770513243,1.335586131
0.83,-0.844327926,0.557500214,0.755378605,-0.844327926,1.312878818
0.84,-0.904827052,0.544222617,0.725244088,-0.904827052,1.269466704
0.85,-0.951056516,0.522333127,0.683701297,-0.951056516,1.206034424
0.86,-0.982287251,0.492176972,0.63140537,-0.982287251,1.123582342
0.87,-0.998026728,0.454229748,0.569181029,-0.998026728,1.023410777
0.88,-0.998026728,0.409089919,0.498009574,-0.998026728,0.907099493
0.89,-0.982287251,0.357469385,0.419013405,-0.982287251,0.776482789
0.9,-0.951056516,0.300182247,0.333438322,-0.951056516,0.633620569
0.91,-0.904827052,0.238131972,0.242633881,-0.904827052,0.480765854
0.92,-0.844327926,0.172297148,0.148032106,-0.844327926,0.320329254
0.93,-0.770513243,0.103716043,0.051124907,-0.770513243,0.15484095
0.94,-0.684547106,0.033470238,-0.046559447,-0.684547106,-0.013089208
0.95,-0.587785252,-0.037332433,-0.14348043,-0.587785252,-0.180812863
0.96,-0.481753674,-0.107575355,-0.238109557,-0.481753674,-0.345684912
0.97,-0.368124553,-0.176150739,-0.328954486,-0.368124553,-0.505105225
0.98,-0.248689887,-0.241977095,-0.414582552,-0.248689887,-0.656559648
0.99,-0.125333234,-0.304016288,-0.493643367,-0.125333234,-0.797659655
1,-2.45E-15,-0.361289906,-0.564890109,-2.45E-15,-0.926180015
