Time_FEA,I_P_FEA,I_2_FEA,I_4_FEA,I_6_FEA,I_S_FEA
0.74,0.125333234,0.780722318,-0.103775386,0.218748005,0.895694937
0.75,5.10E-13,0.909500806,0.020499351,0.260455763,1.19045592
0.76,-0.125333234,1.023903354,0.144482809,0.298056575,1.466442738
0.77,-0.248689887,1.12212577,0.2662197,0.330957446,1.719302916
0.78,-0.368124553,1.202619027,0.383790165,0.358639504,1.945048696
0.79,-0.481753674,1.264113703,0.495340053,0.380666178,2.140119933
0.8,-0.587785252,1.30563999,0.599110158,0.396690089,2.301440237
0.81,-0.684547106,1.326542997,0.69346397,0.406458523,2.42646549
0.82,-0.770513243,1.326493073,0.776913476,0.40981742,2.513223968
0.83,-0.844327926,1.305491008,0.848142631,0.4067138,2.560347439
0.84,-0.904827052,1.26386802,0.906028112,0.397196605,2.567092737
0.85,-0.951056516,1.202280529,0.949657036,0.381415919,2.533353485
0.86,-0.982287251,1.121699812,0.97834135,0.359620608,2.45966177
0.87,-0.998026728,1.023396676,0.991628688,0.33215439,2.347179755
0.88,-0.998026728,0.908921424,0.989309505,0.299450418,2.197681347
0.89,-0.982287251,0.780079401,0.971420378,0.262024448,2.013524227
0.9,-0.951056516,0.638902526,0.938243432,0.220466704,1.797612662
0.91,-0.904827052,0.487617247,0.890301889,0.17543257,1.553351706
0.92,-0.844327926,0.328609424,0.828351818,0.127632257,1.284593499
0.93,-0.770513243,0.164386711,0.753370211,0.077819598,0.99557652
0.94,-0.684547106,-0.002461,0.666539574,0.026780164,0.690858738
0.95,-0.587785252,-0.169302416,0.569229279,-0.024681128,0.375245735
0.96,-0.481753674,-0.333506346,0.46297397,-0.075752708,0.053714917
0.97,-0.368124553,-0.492483192,0.349449358,-0.125629152,-0.268662985
0.98,-0.248689887,-0.64372579,0.230445795,-0.173523883,-0.586803878
0.99,-0.125333234,-0.78484895,0.107840038,-0.218681577,-0.89569049
1,-2.45E-15,-0.913627073,-0.016434346,-0.260390076,-1.190451494
