Time_FEA,I_P_FEA,I_2_FEA,I_4_FEA,I_6_FEA,I_S_FEA
0,-1.89E-13,-1.099297187,-0.031377285,-0.316794049,-1.447468521
0.01,0.06279052,-1.11501396,-0.092608014,-0.323879863,-1.531501836
0.02,0.125333234,-1.126345369,-0.153452087,-0.32969353,-1.609490986
0.03,0.187381315,-1.133246698,-0.21366937,-0.334212114,-1.681128182
0.04,0.248689887,-1.135690714,-0.273022202,-0.337417789,-1.746130705
0.05,0.309016994,-1.133667776,-0.331276335,-0.33929791,-1.80424202
0.06,0.368124553,-1.12718587,-0.388201854,-0.339845065,-1.855232789
0.07,0.425779292,-1.116270582,-0.443574093,-0.3390571,-1.898901774
0.08,0.481753674,-1.100964991,-0.497174511,-0.336937132,-1.935076635
0.09,0.535826795,-1.081329507,-0.548791563,-0.333493535,-1.963614605
0.1,0.587785252,-1.057441623,-0.598221531,-0.328739904,-1.984403058
0.11,0.63742399,-1.029395618,-0.645269328,-0.322695006,-1.997359952
0.12,0.684547106,-0.997302179,-0.689749269,-0.315382705,-2.002434153
0.13,0.728968627,-0.961287967,-0.731485803,-0.306831864,-1.999605634
0.14,0.770513243,-0.921495117,-0.770314206,-0.297076237,-1.98888556
0.15,0.809016994,-0.878080675,-0.806081233,-0.286154328,-1.970316236
0.16,0.844327926,-0.831215982,-0.838645718,-0.274109249,-1.943970949
0.17,0.87630668,-0.781085992,-0.867879138,-0.260988541,-1.909953671
0.18,0.904827052,-0.727888548,-0.893666113,-0.246843992,-1.868398652
0.19,0.929776486,-0.671833599,-0.915904866,-0.231731428,-1.819469892
0.2,0.951056516,-0.613142369,-0.934507623,-0.215710498,-1.763360491
0.21,0.968583161,-0.552046489,-0.949400961,-0.198844434,-1.700291885
0.22,0.982287251,-0.488787079,-0.960526096,-0.181199805,-1.63051298
0.23,0.992114701,-0.423613795,-0.967839115,-0.16284625,-1.55429916
0.24,0.998026728,-0.356783849,-0.97131115,-0.143856207,-1.471951206
0.25,1,-0.288560989,-0.970928492,-0.124304627,-1.383794109
0.26,0.998026728,-0.219214463,-0.966692645,-0.104268676,-1.290175784
0.27,0.992114701,-0.14901795,-0.95862032,-0.08382743,-1.1914657
0.28,0.982287251,-0.078248485,-0.946743369,-0.063061568,-1.088053422
0.29,0.968583161,-0.007185365,-0.931108658,-0.042053046,-0.980347069
0.3,0.951056516,0.063890956,-0.911777886,-0.020884781,-0.868771711
0.31,0.929776486,0.134699971,-0.888827336,0.000359681,-0.753767684
0.32,0.904827052,0.204962227,-0.862347579,0.021596495,-0.635788856
0.33,0.87630668,0.27440043,-0.832443112,0.042741844,-0.515300837
0.34,0.844327926,0.34274054,-0.799231951,0.063712273,-0.392779138
0.35,0.809016994,0.409712847,-0.762845159,0.084425017,-0.268707295
0.36,0.770513243,0.475053043,-0.723426335,0.104798328,-0.143574965
0.37,0.728968627,0.538503257,-0.681131041,0.124751798,-0.017875986
0.38,0.684547106,0.599813081,-0.636126194,0.144206677,0.107893564
0.39,0.63742399,0.658740552,-0.588589403,0.16308618,0.233237329
0.4,0.587785252,0.715053111,-0.53870827,0.181315796,0.357660637
0.41,0.535826795,0.768528516,-0.486679649,0.198823577,0.480672443
0.42,0.481753674,0.818955724,-0.43270887,0.215540424,0.601787278
0.43,0.425779292,0.866135722,-0.377008927,0.23140036,0.720527155
0.44,0.368124553,0.909882311,-0.319799638,0.24634079,0.836423463
0.45,0.309016994,0.950022845,-0.26130678,0.260302747,0.949018811
0.46,0.248689887,0.986398906,-0.201761194,0.273231127,1.057868838
0.47,0.187381315,1.018866935,-0.141397877,0.285074904,1.162543962
0.48,0.125333234,1.047298795,-0.080455051,0.295787333,1.262631077
0.49,0.06279052,1.071582279,-0.019173228,0.305326135,1.357735186
0.5,1.93E-13,1.091621551,0.042205745,0.31365366,1.447480956
0.51,-0.06279052,1.107337526,0.103439633,0.320737041,1.531514201
0.52,-0.125333234,1.118668181,0.164286778,0.326548321,1.60950328
0.53,-0.187381315,1.125568799,0.224507046,0.331064562,1.681140406
0.54,-0.248689887,1.128012146,0.283862776,0.334267938,1.74614286
0.55,-0.309016994,1.125988581,0.342119722,0.336145804,1.804254107
0.56,-0.368124553,1.11950609,0.399047971,0.336690747,1.855244808
0.57,-0.425779292,1.108590258,0.454422855,0.335900613,1.898913726
0.58,-0.481753674,1.093284164,0.508025836,0.333778519,1.935088519
0.59,-0.535826795,1.073648217,0.559645369,0.330332837,1.963626422
0.6,-0.587785252,1.04975991,0.609077737,0.325577163,1.984414809
0.61,-0.63742399,1.021713521,0.656127854,0.319530263,1.997371638
0.62,-0.684547106,0.989619737,0.700610035,0.312216001,2.002445774
0.63,-0.728968627,0.95360522,0.742348732,0.303663239,1.999617191
0.64,-0.770513243,0.913812102,0.78117922,0.29390573,1.988897052
0.65,-0.809016994,0.87039743,0.816948255,0.28298198,1.970327665
0.66,-0.844327926,0.823532543,0.849514672,0.270935099,1.943982314
0.67,-0.87630668,0.773402397,0.878749949,0.257812627,1.909964973
0.68,-0.904827052,0.720204834,0.904538706,0.243666353,1.868409892
0.69,-0.929776486,0.664149801,0.926779168,0.228552101,1.819481071
0.7,-0.951056516,0.605458525,0.945383561,0.212529522,1.763371608
0.71,-0.968583161,0.544362633,0.960278463,0.195661845,1.700302942
0.72,-0.982287251,0.481103245,0.971405091,0.17801564,1.630523976
0.73,-0.992114701,0.415930019,0.978719532,0.159660545,1.554310095
0.74,-0.998026728,0.349100164,0.982192919,0.140668999,1.471962082
0.75,-1,0.280877431,0.981811544,0.121115952,1.383804926
0.76,-0.998026728,0.211531063,0.977576912,0.101078568,1.290186543
0.77,-0.992114701,0.141334742,0.969505733,0.080635925,1.191476401
0.78,-0.982287251,0.070565502,0.957629862,0.0598687,1.088064065
0.79,-0.968583161,-0.000497361,0.941996165,0.038858851,0.980357655
0.8,-0.951056516,-0.071573392,0.922666341,0.017689291,0.86878224
0.81,-0.929776486,-0.142382085,0.899716674,-0.003556433,0.753778156
0.82,-0.904827052,-0.212643989,0.873237735,-0.024794474,0.635799272
0.83,-0.87630668,-0.282081809,0.843334024,-0.045941018,0.515311198
0.84,-0.844327926,-0.350421504,0.810123555,-0.066912608,0.392789443
0.85,-0.809016994,-0.417393367,0.773737394,-0.087626482,0.268717545
0.86,-0.770513243,-0.482733088,0.734319139,-0.108000891,0.14358516
0.87,-0.728968627,-0.546182798,0.692024353,-0.127955427,0.017886128
0.88,-0.684547106,-0.607492089,0.647019954,-0.147411341,-0.107883476
0.89,-0.63742399,-0.666418997,0.599483551,-0.166291848,-0.233227295
0.9,-0.587785252,-0.722730964,0.549602746,-0.184522437,-0.357650655
0.91,-0.535826795,-0.776205749,0.497574396,-0.202031161,-0.480662514
0.92,-0.481753674,-0.82663231,0.44360383,-0.218748921,-0.601777401
0.93,-0.425779292,-0.873811632,0.387904043,-0.23460974,-0.72051733
0.94,-0.368124553,-0.917557519,0.330694853,-0.249551024,-0.836413689
0.95,-0.309016994,-0.957697322,0.272202039,-0.263513806,-0.949009089
0.96,-0.248689887,-0.994072626,0.212656441,-0.276442981,-1.057859166
0.97,-0.187381315,-1.026539871,0.152293057,-0.288287526,-1.16253434
0.98,-0.125333234,-1.054970921,0.09135011,-0.299000694,-1.262621505
0.99,-0.06279052,-1.079253569,0.030068112,-0.308540206,-1.357725663
1,-1.22E-15,-1.09929198,-0.031311088,-0.316868415,-1.447471482
