"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
0,0,0,0,0
0.01,0.0627905195293134,-0.0478404937680708,-0.0610304792696457,0.0627905195293134
0.02,0.125333233564304,-0.0893318898468545,-0.116874825786304,0.125333233564304
0.03,0.187381314585725,-0.126097184280656,-0.165474833067487,0.187381314585725
0.04,0.248689887164855,-0.158548262150054,-0.207365032491553,0.248689887164855
0.05,0.309016994374947,-0.186994155083657,-0.243078140393215,0.309016994374947
0.06,0.368124552684678,-0.211709762948595,-0.273088000092938,0.368124552684678
0.07,0.425779291565073,-0.232940718445665,-0.297818890994731,0.425779291565073
0.08,0.481753674101715,-0.250907075204382,-0.317653034810917,0.481753674101715
0.09,0.535826794978997,-0.26580688359887,-0.332936651639844,0.535826794978997
0.1,0.587785252292473,-0.277819416983643,-0.343985103161508,0.587785252292473
0.11,0.63742398974869,-0.287108025034102,-0.351087334735546,0.63742398974869
0.12,0.684547105928689,-0.293822640378225,-0.354509732355631,0.684547105928689
0.13,0.728968627421411,-0.298101973106671,-0.354499475397989,0.728968627421411
0.14,0.770513242775789,-0.300075425450031,-0.351287448066115,0.770513242775789
0.15,0.809016994374947,-0.299864757748025,-0.345090761786453,0.809016994374947
0.16,0.844327925502015,-0.297585532046869,-0.336114933138065,0.844327925502015
0.17,0.876306680043864,-0.293348357417514,-0.32455575656083,0.876306680043864
0.18,0.90482705246602,-0.287259958235508,-0.31060090538095,0.90482705246602
0.19,0.929776485888251,-0.279424084056809,-0.294431290547933,0.929776485888251
0.2,0.951056516295154,-0.269942278041995,-0.276222205255886,0.951056516295154
0.21,0.968583161128631,-0.258914518391002,-0.256144276796764,0.968583161128631
0.22,0.982287250728689,-0.24643974611815,-0.234364248796421,0.982287250728689
0.23,0.992114701314478,-0.232616291053707,-0.211045610685361,0.992114701314478
0.24,0.998026728428272,-0.21754220656806,-0.186349093022056,0.998026728428272
0.25,1,-0.201315522420669,-0.160433042448908,1
0.26,0.998026728428272,-0.184034424466698,-0.133453690139581,0.998026728428272
0.27,0.992114701314478,-0.165797368837757,-0.105565326782065,0.992114701314478
0.28,0.982287250728689,-0.146703137552849,-0.0769203939930194,0.982287250728689
0.29,0.968583161128631,-0.126850842092926,-0.047669503218548,0.968583161128631
0.3,0.951056516295154,-0.106339880701316,-0.017961390633277,0.951056516295154
0.31,0.929776485888251,-0.0852698545776204,0.0120571832760418,0.929776485888251
0.32,0.904827052466019,-0.0637404481945469,0.0422415818883441,0.904827052466019
0.33,0.876306680043864,-0.0418512778772584,0.0724494818498433,0.876306680043864
0.34,0.844327925502015,-0.0197017131296751,0.102541096482197,0.844327925502015
0.35,0.809016994374947,0.0026093256142157,0.132379428163966,0.809016994374947
0.36,0.770513242775789,0.024983589127762,0.161830543695625,0.770513242775789
0.37,0.728968627421412,0.0473237381254178,0.190763867951107,0.728968627421412
0.38,0.684547105928689,0.069533595300825,0.219052490960454,0.684547105928689
0.39,0.63742398974869,0.0915184080147645,0.246573484486224,0.63742398974869
0.4,0.587785252292473,0.113185118537456,0.273208223660194,0.587785252292473
0.41,0.535826794978997,0.134442639553162,0.298842710484516,0.535826794978997
0.42,0.481753674101716,0.155202132197633,0.323367895458167,0.481753674101716
0.43,0.425779291565073,0.175377284663651,0.34667999423737,0.425779291565073
0.44,0.368124552684678,0.194884589025896,0.368680796684583,0.368124552684678
0.45,0.309016994374948,0.213643614077605,0.38927796499127,0.309016994374948
0.46,0.248689887164855,0.231577272652822,0.408385319298849,0.248689887164855
