Time_Analysis,I_1_Analysis,I_2_Analysis,I_3_Analysis,I_4_Analysis,I_S_Analysis
0,0,-0.080707292,-0.104069993,0,-0.184777285
0.0204,0.127877162,-0.078267155,-0.107195101,0.127877162,-0.185462257
0.0408,0.253654584,-0.074541874,-0.10856007,0.253654584,-0.183101943
0.0612,0.375267005,-0.069592617,-0.108142484,0.375267005,-0.177735101
0.0816,0.490717552,-0.063500651,-0.105949203,0.490717552,-0.169449854
0.102,0.59811053,-0.056366007,-0.102016238,0.59811053,-0.158382245
0.1224,0.695682551,-0.048305834,-0.096408169,0.695682551,-0.144714003
0.1429,0.781831482,-0.03945248,-0.089217081,0.781831482,-0.128669562
0.1633,0.855142763,-0.029951318,-0.080561051,0.855142763,-0.11051237
0.1837,0.914412623,-0.019958357,-0.070582211,0.914412623,-0.090540568
0.2041,0.958667853,-0.009637679,-0.059444413,0.958667853,-0.069082092
0.2245,0.987181783,0.000841249,-0.047330539,0.987181783,-0.04648929
0.2449,0.999486216,0.011306363,-0.034439499,0.999486216,-0.023133136
0.2653,0.995379113,0.021585828,-0.020982964,0.995379113,0.000602864
0.2857,0.974927912,0.031510854,-0.007181888,0.974927912,0.024328965
0.3061,0.938468422,0.040918472,0.006737113,0.938468422,0.047655585
0.3265,0.886599306,0.04965421,0.020545492,0.886599306,0.070199702
0.3469,0.820172255,0.057574628,0.034016514,0.820172255,0.091591142
0.3673,0.740277997,0.064549671,0.046928986,0.740277997,0.111478657
0.3878,0.648228395,0.070464811,0.059070885,0.648228395,0.129535696
0.4082,0.545534901,0.075222921,0.070242842,0.545534901,0.145465763
0.4286,0.433883739,0.078745872,0.080261413,0.433883739,0.159007285
0.449,0.315108218,0.080975818,0.088962094,0.315108218,0.169937913
0.4694,0.191158629,0.081876144,0.096202021,0.191158629,0.178078164
0.4898,0.06407022,0.081432065,0.101862312,0.06407022,0.183294378
0.5102,-0.06407022,0.079650875,0.105850027,-0.06407022,0.185500902
0.5306,-0.191158629,0.076561819,0.108099688,-0.191158629,0.184661507
0.551,-0.315108218,0.07221562,0.108574355,-0.315108218,0.180789975
0.5714,-0.433883739,0.066683643,0.107266234,-0.433883739,0.173949876
0.5918,-0.545534901,0.060056722,0.104196804,-0.545534901,0.164253526
0.6122,-0.648228395,0.052443671,0.099416466,-0.648228395,0.151860137
0.6327,-0.740277997,0.043969497,0.093003712,-0.740277997,0.136973209
0.6531,-0.820172255,0.034773345,0.085063839,-0.820172255,0.119837184
0.6735,-0.886599306,0.025006215,0.075727221,-0.886599306,0.100733436
0.6939,-0.938468422,0.014828485,0.065147164,-0.938468422,0.079975648
0.7143,-0.974927912,0.00440727,0.053497392,-0.974927912,0.057904663
0.7347,-0.995379113,-0.006086311,0.040969195,-0.995379113,0.034882884
0.7551,-0.999486216,-0.016479955,0.027768284,-0.999486216,0.011288329
0.7755,-0.987181783,-0.026602999,0.014111419,-0.987181783,-0.01249158
0.7959,-0.958667853,-0.036289223,0.000222845,-0.958667853,-0.036066378
0.8163,-0.914412623,-0.045379578,-0.013669388,-0.914412623,-0.059048966
0.8367,-0.855142763,-0.053724802,-0.02733717,-0.855142763,-0.081061972
0.8571,-0.781831482,-0.061187867,-0.040556077,-0.781831482,-0.101743943
0.8776,-0.695682551,-0.067646228,-0.053109054,-0.695682551,-0.120755281
0.898,-0.59811053,-0.07299384,-0.064789981,-0.59811053,-0.137783821
0.9184,-0.490717552,-0.077142895,-0.07540706,-0.490717552,-0.152549954
0.9388,-0.375267005,-0.080025266,-0.084785956,-0.375267005,-0.164811221
0.9592,-0.253654584,-0.081593624,-0.092772669,-0.253654584,-0.174366293
0.9796,-0.127877162,-0.081822217,-0.099236057,-0.127877162,-0.181058275
1,-2.45E-16,-0.080707292,-0.104069993,-2.45E-16,-0.184777285
