Time_Analysis,I_1_Analysis,I_2_Analysis,I_3_Analysis,I_4_Analysis,I_S_Analysis
0.848484848,-1.00043406,0.021517994,-0.021191898,-1.00043406,
0.858585859,-1.000040368,0.021387013,-0.021355967,-1.000040368,
0.868686869,-0.999563645,0.021229911,-0.021552523,-0.999563645,
0.878787879,-0.999464861,0.021200484,-0.021588853,-0.999464861,
0.888888889,-0.999892966,0.021348531,-0.021402537,-0.999892966,
0.898989899,-1.000500509,0.021559825,-0.021136449,-1.000500509,
0.909090909,-1.00070594,0.021645282,-0.021026758,-1.00070594,
0.919191919,-1.000217187,0.021517384,-0.021181598,-1.000217187,
0.929292929,-0.999370972,0.02130636,-0.021435026,-0.999370972,
0.939393939,-0.998949107,0.021305928,-0.021413928,-0.998949107,
0.949494949,-0.999547189,0.021778468,-0.020779711,-0.999547189,
0.95959596,-1.000962477,0.022782993,-0.019438894,-1.000962477,
0.96969697,-1.002092216,0.024203752,-0.017497631,-1.002092216,
0.97979798,-1.00138187,0.026020514,-0.014904412,-1.00138187,
0.98989899,-0.996640719,0.028483154,-0.011194881,-0.996640719,
1,-2.51E-13,-0.294144464,-0.413940007,-2.51E-13,
