Load,LoadOverZmag,I_P_analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis
27.58626662,15.65948265,0.999486216,0.709902565,0.928619497,0.247450312
30.98766761,17.59030499,0.999486216,0.705673216,0.928408827,0.246426562
34.80846312,19.75919873,0.999486216,0.702040245,0.928243742,0.245254472
39.10036469,22.19551819,0.999486216,0.69816297,0.928114887,0.244241305
43.92145995,24.9322371,0.999486216,0.695621077,0.928014721,0.243912241
49.33699877,28.00639489,0.999486216,0.694306557,0.927937201,0.243488143
55.42027633,31.45959792,0.999486216,0.692813258,0.927877498,0.243006366
62.25362517,35.33858267,0.999486216,0.69122743,0.927831774,0.242494738
69.92952947,39.69584826,0.999486216,0.689612293,0.927796983,0.242044199
78.55187676,44.59036696,0.999486216,0.688626119,0.927770716,0.242064269
88.23736394,50.08838235,0.999486216,0.688553519,0.927751073,0.242040846
99.11707673,56.2643059,0.999486216,0.688387326,0.927736558,0.241987228
111.3382637,63.201724,0.999486216,0.688158814,0.927725994,0.241913504
125.0663295,70.99452943,0.999486216,0.687891499,0.927718463,0.241827262
140.4870728,79.74819173,0.999486216,0.687602879,0.927713243,0.241734146
157.8092018,89.58118517,0.999486216,0.687305794,0.927709775,0.241638298
177.2671583,100.6265918,0.999486216,0.687009502,0.927707622,0.241542707
199.124291,113.0339028,0.999486216,0.686720517,0.927706445,0.241449473
223.6764194,126.9710417,0.999486216,0.686443272,0.927705985,0.241360027
251.2558381,142.6266371,0.999486216,0.686180627,0.927706041,0.24127529
282.2358133,160.2125755,0.999486216,0.685934266,0.92770646,0.241195808
317.0356356,179.9668692,0.999486216,0.685705006,0.927707125,0.241121843
356.1262941,202.1568776,0.999486216,0.685493035,0.927707949,0.24108277
400.036851,227.0829255,0.999486216,0.68546206,0.927708867,0.241125556
