Time_FEA,I_1_FEA,I_2_FEA,I_3_FEA,I_4_FEA,I_S_FEA
0,-1.89E-13,-0.295839777,-0.463900337,-1.89E-13,-0.759740114
0.01,0.06279052,-0.308705141,-0.47464041,0.06279052,-0.783345551
0.02,0.125333234,-0.320357518,-0.483501906,0.125333234,-0.803859425
0.03,0.187381315,-0.330750922,-0.490449855,0.187381315,-0.821200777
0.04,0.248689887,-0.339844331,-0.495456838,0.248689887,-0.835301169
0.05,0.309016994,-0.347601857,-0.498503097,0.309016994,-0.846104954
0.06,0.368124553,-0.353992884,-0.499576611,0.368124553,-0.853569495
0.07,0.425779292,-0.358992187,-0.498673145,0.425779292,-0.857665332
0.08,0.481753674,-0.362580034,-0.495796267,0.481753674,-0.858376301
0.09,0.535826795,-0.364742266,-0.490957332,0.535826795,-0.855699597
0.1,0.587785252,-0.365470346,-0.484175438,0.587785252,-0.849645784
0.11,0.63742399,-0.364761401,-0.475477352,0.63742399,-0.840238753
0.12,0.684547106,-0.362618226,-0.464897404,0.684547106,-0.82751563
0.13,0.728968627,-0.359049278,-0.452477349,0.728968627,-0.811526627
0.14,0.770513243,-0.354068641,-0.438266205,0.770513243,-0.792334847
0.15,0.809016994,-0.34769597,-0.42232006,0.809016994,-0.770016029
0.16,0.844327926,-0.339956412,-0.404701846,0.844327926,-0.744658258
0.17,0.87630668,-0.330880512,-0.385481096,0.87630668,-0.716361608
0.18,0.904827052,-0.320504086,-0.364733668,0.904827052,-0.685237754
0.19,0.929776486,-0.308868083,-0.342541444,0.929776486,-0.651409527
0.2,0.951056516,-0.296018425,-0.318992008,0.951056516,-0.615010433
0.21,0.968583161,-0.282005821,-0.2941783,0.968583161,-0.576184122
0.22,0.982287251,-0.266885572,-0.268198251,0.982287251,-0.535083823
0.23,0.992114701,-0.250717348,-0.241154394,0.992114701,-0.491871742
0.24,0.998026728,-0.233564957,-0.21315346,0.998026728,-0.446718417
0.25,1,-0.21549609,-0.184305958,1,-0.399802048
0.26,0.998026728,-0.196582054,-0.154725737,0.998026728,-0.351307791
0.27,0.992114701,-0.176897495,-0.124529538,0.992114701,-0.301427033
0.28,0.982287251,-0.156520096,-0.093836534,0.982287251,-0.25035663
0.29,0.968583161,-0.135530275,-0.062767858,0.968583161,-0.198298133
0.3,0.951056516,-0.11401087,-0.031446125,0.951056516,-0.145456995
0.31,0.929776486,-0.092046805,5.05E-06,0.929776486,-0.092041754
0.32,0.904827052,-0.069724762,0.031461544,0.904827052,-0.038263217
0.33,0.87630668,-0.047132833,0.062799209,0.87630668,0.015666376
0.34,0.844327926,-0.024360178,0.093894369,0.844327926,0.069534191
0.35,0.809016994,-0.001496668,0.124624303,0.809016994,0.123127635
0.36,0.770513243,0.021367467,0.154867733,0.770513243,0.176235199
0.37,0.728968627,0.044141993,0.1845053,0.728968627,0.228647292
0.38,0.684547106,0.066737031,0.213420036,0.684547106,0.280157067
0.39,0.63742399,0.089063411,0.241497828,0.63742399,0.330561239
0.4,0.587785252,0.111033022,0.268627862,0.587785252,0.379660884
0.41,0.535826795,0.132559161,0.294703068,0.535826795,0.427262229
0.42,0.481753674,0.153556876,0.319620537,0.481753674,0.473177413
0.43,0.425779292,0.173943299,0.343281929,0.425779292,0.517225229
0.44,0.368124553,0.193637978,0.365593863,0.368124553,0.559231841
0.45,0.309016994,0.212563186,0.386468281,0.309016994,0.599031467
0.46,0.248689887,0.230644236,0.4058228,0.248689887,0.636467037
0.47,0.187381315,0.247809773,0.423581036,0.187381315,0.671390809
